n,month,average_temp,sd_temp,decade
1,1,7.612152195,0.617165398,1
2,2,7.227347071,0.616079552,1
3,3,6.931580321,0.59200215,1
4,4,6.694581515,0.57195852,1
5,5,6.679496582,0.537327731,1
6,6,6.843053253,0.561686487,1
7,7,7.072709326,0.533692393,1
8,8,7.335304869,0.46906257,1
9,9,7.561166437,0.449267954,1
10,10,7.73647145,0.368362831,1
11,11,7.925253281,0.407245249,1
12,12,7.913473195,0.425490898,1
13,1,7.967801418,0.282863503,2
14,2,7.542698084,0.48129179,2
15,3,7.16360107,0.381605651,2
16,4,7.047014602,0.310603615,2
17,5,7.040086192,0.283914421,2
18,6,7.204519259,0.329524508,2
19,7,7.464472994,0.378330841,2
20,8,7.843282502,0.38765871,2
21,9,8.137599088,0.346343808,2
22,10,8.415364,0.288687298,2
23,11,8.64731796,0.26670306,2
24,12,8.510566656,0.222582494,2
25,1,8.702803517,0.440036306,3
26,2,8.417128924,0.448634218,3
27,3,8.095342043,0.401977198,3
28,4,7.657190212,0.416809984,3
29,5,7.535622557,0.422408261,3
30,6,7.641168498,0.411764523,3
31,7,7.880241709,0.36810326,3
32,8,8.145805446,0.34398051,3
33,9,8.442587008,0.355259981,3
34,10,8.752236677,0.34924977,3
35,11,8.973820699,0.304130173,3
36,12,8.980121384,0.308388495,3
37,1,8.766504109,0.513785847,4
38,2,8.388667744,0.72140923,4
39,3,7.82657906,0.631960831,4
40,4,7.556618734,0.496476457,4
41,5,7.527086575,0.454329459,4
42,6,7.695303906,0.467725275,4
43,7,7.98622161,0.450460727,4
44,8,8.288770372,0.438552855,4
45,9,8.493005787,0.410081057,4
46,10,8.7956213,0.388051663,4
47,11,9.090087965,0.379730264,4
48,12,9.113607402,0.431186761,4
49,1,9.865587734,0.486877008,5
50,2,9.38468016,0.741135125,5
51,3,8.825114168,0.686043071,5
52,4,8.563186985,0.60029858,5
53,5,8.571562512,0.542427119,5
54,6,8.746188692,0.549282405,5
55,7,9.036841717,0.541506812,5
56,8,9.367712777,0.541615274,5
57,9,9.692947775,0.54488474,5
58,10,10.03794638,0.449579228,5
59,11,10.2624622,0.362456313,5
60,12,10.30161456,0.40813877,5
61,1,11.14425159,0.299837833,6
62,2,10.52708376,0.446902299,6
63,3,10.03372414,0.362685218,6
64,4,9.760871068,0.401915433,6
65,5,9.707017532,0.40076231,6
66,6,9.89721492,0.408969355,6
67,7,10.14737331,0.391564816,6
68,8,10.55130464,0.382316668,6
69,9,10.87569397,0.342756509,6
70,10,11.15775622,0.242794483,6
71,11,11.40610563,0.265562649,6
72,12,11.45596318,0.281780725,6
73,1,11.3891867,0.425579004,7
74,2,10.84694378,0.687852825,7
75,3,10.28035856,0.572512298,7
76,4,9.93383367,0.390116886,7
77,5,9.882956268,0.303494128,7
78,6,10.08053909,0.310455489,7
79,7,10.40066517,0.284541081,7
80,8,10.83896898,0.263835698,7
81,9,11.14840065,0.303747825,7
82,10,11.5377538,0.236713724,7
83,11,11.78455121,0.25227849,7
84,12,11.87966828,0.290531993,7
85,1,11.21783896,0.304600516,8
86,2,10.47989486,0.456476843,8
87,3,9.885289248,0.568962775,8
88,4,9.78719718,0.536014828,8
89,5,9.832140733,0.457860581,8
90,6,9.999576146,0.436261124,8
91,7,10.25758225,0.387024081,8
92,8,10.58898677,0.366227266,8
93,9,10.98184565,0.353728914,8
94,10,11.30400249,0.348641697,8
95,11,11.59471236,0.281548199,8
96,12,11.65648041,0.22671996,8
